Rank,Year,Title,Genre,YoutubeId,ViewCount,LikeCount,DislikeCount,CommentCount
1,1961,Are You Lonesome To-night?,Pop,_cS5aCozhcA,23929884,93799,3110,3356
1,1971,My Sweet Lord/Isnt It A Pity,Rock,8qJTJNfzvr8,25955303,133851,6388,8286
1,1998,Candle In The Wind 1997/Something About The Way You Look Tonight,Rock,B93Tir6l5FA,15860711,50916,2238,2580
1,2006,Dont Forget About Us,"Electronic, Hip Hop",8tZkzL4j3BU,59668617,174164,5663,9112
1,1999,I'm Your Angel,Pop,qPCwPe4Tk-4,29596881,117849,5750,5208
2,1972,American Pie (Parts I & II),Rock,uAsV5-Hv-7U,85474487,328028,17426,35149
2,1996,Exhale (Shoop Shoop) (From Waiting To Exhale),"Hip Hop, Pop",wrTuV4Szxzo,19420512,72017,2397,3551
2,1999,Nobody's Supposed To Be Here,Electronic,H947PtHmh0Y,30998705,218561,9137,5539
2,1992,It's So Hard To Say Goodbye To Yesterday,Hip Hop,VastXQ_hPb0,12156009,83950,1838,6347
2,1997,"I Believe I Can Fly (From ""Space Jam"")",Hip Hop,LbUpPVOEkdA,36896715,190201,9627,12404
2,2001,He Loves U Not,Electronic,IDjI3SD4Cr4,2109745,17971,745,1705
