,Year,Title,YoutubeId,ViewCount,LikeCount,DislikeCount,CommentCount,FavoriteCount
0,1958,Patricia,slpYZtTpXZw,670125,5118,783,173,0
1,1959,"To Know Him, Is To Love Him",tIUf6dOGc1c,2024549,9769,256,537,0
2,1960,The Big Hurt,IlE6eHEENg4,221212,1036,28,255,0
3,1961,Last Date,JvfG9uFswis,3296274,14691,585,1430,0
4,1962,Run To Him,PUqMNIsYI4w,658449,2412,57,436,0
5,1963,Limbo Rock,gq7pxUgjLz0,1036589,4672,247,202,0
6,1964,Dominique,EO7cD6qmydo,4219854,21941,984,2568,0
7,1965,Mr. Lonely,djU4Lq_5EaM,13545654,136349,2552,12811,0
8,1966,I Got You (I Feel Good),DuDeBcpLITQ,9260257,53602,1561,3060,0
9,1967,Tell It Like It Is,Rv_UW8sHsWE,15664414,114146,3990,2502,0
10,1968,Judy In Disguise (With Glasses),TaWaQBxc0aI,1787967,8560,222,1130,0
11,1969,I'm Gonna Make You Love Me,r28-9kh4bhA,1153938,7945,276,362,0
12,1970,Someday We'll Be Together,HXGz8i0I2L0,5062582,19421,651,2031,0
13,1971,Knock Three Times,wT5ms2Nvpco,1962270,14901,562,481,0
14,1972,Family Affair,znlFu_lemsU,115188814,488923,19539,11051,0
15,1973,Me And Mrs. Jones,n2v98PGBZH4,30792376,160014,4997,7121,0
16,1974,Leave Me Alone (ruby Red Dress),ULKEBJRC0gs,137402,800,40,107,0
17,1978,Blue Bayou,_qqvdOwoN-Y,4425855,31812,1167,1558,0
18,1979,My Life,Idj__EDPCKk,660753,2537,32,71,0
19,1980,Rock With You,5X-Mrc2l1d0,152217953,798210,21661,36426,0
20,1981,Love On The Rocks,UbvxP08FlMs,7178584,18861,1098,1099,0
21,1982,Let's Groove,Lrle0x_DHBM,96309461,532506,14753,22526,0
22,1983,The Girl Is Mine,rHp0s2wKajw,6266222,40697,1351,3099,0
23,1984,Union Of The Snake,n6p5Q6_JBes,4332837,15940,538,1305,0
24,1985,Sea Of Love,2BoUzzFXuVU,1227605,9660,348,389,0
25,1986,Alive & Kicking,ljIQo1OHkTI,43422164,142243,6943,10426,0
26,1987,Notorious,bs7Ur81Z6Qg,2823088,14933,449,749,0
27,1988,Is This Love,CHekNnySAfM,196441182,784989,26363,33205,0
28,1989,Two Hearts,SidxJz94Svs,13836107,46022,1621,1792,0
29,1990,Don't Know Much,WmuJ0us63GQ,8346218,43085,1971,1248,0
30,1991,From A Distance,lN4AcFzxtdE,3299145,20736,908,1144,0
31,1992,All 4 Love,PccRs1HR7VI,3170824,15464,695,1029,0
32,1993,If I Ever Fall In Love,caNRc1ER8p4,60174759,427157,17229,11508,0
33,1994,All That She Wants,d73tiBBzvFM,56437095,286885,8513,9692,0
34,1995,"Here Comes The Hotstepper (From ""Ready To Wear"")",eEJ2b6IaGWU,10965484,119365,3248,2665,0
35,1996,Hey Lover,Um99r6sgspY,14702180,88456,2657,3228,0
36,1997,Don't Let Go (Love),mwhwGmoYv1s,26384540,195212,7112,5581,0
37,1998,How Do I Live,Nsft01S4Lwc,16596533,78575,3266,2934,0
38,1999,Lately,5zvWfI2iF64,12122161,227360,143443,57369,0
39,2000,I Wanna Love You Forever,4bJ0F8KhhZ8,16014881,46813,2086,3859,0
40,2001,It Wasn't Me,2g5Hz17C4is,118728344,689957,22887,28536,0
41,2002,Family Affair,znlFu_lemsU,115188910,488932,19539,11060,0
42,2003,Air Force Ones,BfzsMQGqrt0,45408026,155437,7793,8445,0
43,2004,Milkshake,pGL2rytTraA,37292454,192909,15474,24441,0
44,2005,"1, 2 Step",iBHNgV6_znU,142334845,602610,21016,18688,0
45,2006,Grillz,8fijggq5R6w,90979975,339070,16375,15276,0
46,2007,Fergalicious,5T0utQ-XWGY,154674227,768197,35905,52404,0
47,2008,Apologize,ZSM3w1v-A_Y,218352076,1390993,23956,51149,0
48,2009,Just Dance,2Abk1jAONjw,249120686,598768,26946,54733,0
49,2010,Bad Romance,qrO4YZeyl0I,988928481,3162911,343152,863159,0
50,2011,What's My Name?,U0CGsw6h60k,729798910,1956890,106412,170807,0
51,2012,The One That Got Away,Ahha3Cqe_fk,662068896,2212595,76749,177978,0
52,2013,Ho Hey,zvCBSSwgtg4,196975891,1154379,26773,37603,0
53,2014,Counting Stars,hT_nvWreIhg,2545913503,8886986,331324,336612,0
54,2015,Uptown Funk!,OPf0YbXqDm0,3361849502,11959708,753377,465075,0
55,2016,Hotline Bling,uxpDa-c-4Mc,1457688045,6867947,580196,387449,0
56,2017,Closer,PT2_F-1esPk,2206864012,8748754,451876,362695,0
57,2018,Havana,HCjNJDNzw8Y,1419836027,7388131,383300,390913,0
